Human,SymPy
4x + 1 = 10,4*x + 1 - 10
x^2 - 5x + 6 = 0,x**2 - 5*x + 6 - 0
2^3 + 5 = 13,2**3 + 5 - 13
7x - 3 = 11,7*x - 3 - 11
ln(x) = 2,ln(x) - 2
log2(x) = 5,"log(x, 2) - 5"
log10(x) = 3,"log(x, 10) - 3"
sin(x) = 1/2,sin(x) - 1/2
cos(x) = 0,cos(x) - 0
tan(x) = 1,tan(x) - 1
tg(x) = 1,tg(x) - 1
ctg(x) = 1,ctg(x) - 1
x^3 + 2x^2 + x,x**3 + 2*x**2 + x
d/dx(x^3 + 2x^2 + x),d/dx(x**3 + 2*x**2 + x)
∫(x^2 + 3x + 1) dx,∫(x**2 + 3*x + 1) dx
e^x + 1 = 3,e**x + 1 - 3
3^(2x) = 9,3**(2*x) - 9
sqrt(x) = 4,sqrt(x) - 4
x^(1/3) = 2,x**(1/3) - 2
pi/2 * x = 1,pi/2 * x - 1
sin(7x + 9) = 10,sin(7*x + 9) - 10
tan(6x + 2) = 8,tan(6*x + 2) - 8
sqrt(8x + 1) = 2,sqrt(8*x + 1) - 2
log(2x + 5) = 10,log(2*x + 5) - 10
ln(10x + 2) = 7,ln(10*x + 2) - 7
log(4x + 5) = 9,log(4*x + 5) - 9
log(5x + 10) = 10,log(5*x + 10) - 10
sqrt(6x + 5) = 5,sqrt(6*x + 5) - 5
cot(1x + 5) = 7,cot(1*x + 5) - 7
cot(4x + 1) = 9,cot(4*x + 1) - 9
log(3x + 0) = 3,log(3*x + 0) - 3
tan(3x + 1) = 6,tan(3*x + 1) - 6
cot(6x + 1) = 7,cot(6*x + 1) - 7
exp(10x + 7) = 8,exp(10*x + 7) - 8
tan(9x + 7) = 6,tan(9*x + 7) - 6
tan(3x + 6) = 6,tan(3*x + 6) - 6
sin(7x + 4) = 8,sin(7*x + 4) - 8
exp(7x + 5) = 6,exp(7*x + 5) - 6
exp(5x + 6) = 8,exp(5*x + 6) - 8
sin(5x + 10) = 10,sin(5*x + 10) - 10
sqrt(10x + 4) = 6,sqrt(10*x + 4) - 6
log(9x + 0) = 6,log(9*x + 0) - 6
exp(6x + 6) = 3,exp(6*x + 6) - 3
cos(7x + 4) = 1,cos(7*x + 4) - 1
cot(8x + 3) = 10,cot(8*x + 3) - 10
cot(7x + 0) = 5,cot(7*x + 0) - 5
cot(4x + 3) = 7,cot(4*x + 3) - 7
exp(2x + 6) = 5,exp(2*x + 6) - 5
ln(2x + 9) = 10,ln(2*x + 9) - 10
tan(9x + 9) = 4,tan(9*x + 9) - 4
sqrt(8x + 2) = 8,sqrt(8*x + 2) - 8
cot(4x + 0) = 9,cot(4*x + 0) - 9
tan(2x + 8) = 7,tan(2*x + 8) - 7
tan(6x + 4) = 3,tan(6*x + 4) - 3
sin(3x + 4) = 1,sin(3*x + 4) - 1
log(9x + 0) = 5,log(9*x + 0) - 5
exp(5x + 5) = 6,exp(5*x + 5) - 6
ln(3x + 0) = 7,ln(3*x + 0) - 7
sin(5x + 5) = 8,sin(5*x + 5) - 8
ln(9x + 1) = 3,ln(9*x + 1) - 3
cot(10x + 8) = 2,cot(10*x + 8) - 2
tan(10x + 4) = 3,tan(10*x + 4) - 3
ln(9x + 1) = 1,ln(9*x + 1) - 1
tan(2x + 9) = 4,tan(2*x + 9) - 4
sqrt(8x + 2) = 5,sqrt(8*x + 2) - 5
ln(10x + 10) = 4,ln(10*x + 10) - 4
cos(7x + 2) = 7,cos(7*x + 2) - 7
sqrt(9x + 5) = 4,sqrt(9*x + 5) - 4
ln(10x + 0) = 6,ln(10*x + 0) - 6
exp(6x + 3) = 9,exp(6*x + 3) - 9
exp(1x + 4) = 3,exp(1*x + 4) - 3
sin(7x + 2) = 10,sin(7*x + 2) - 10
exp(10x + 4) = 8,exp(10*x + 4) - 8
sin(8x + 10) = 10,sin(8*x + 10) - 10
sqrt(10x + 6) = 2,sqrt(10*x + 6) - 2
sin(9x + 5) = 2,sin(9*x + 5) - 2
tan(7x + 5) = 1,tan(7*x + 5) - 1
log(2x + 6) = 3,log(2*x + 6) - 3
exp(5x + 8) = 8,exp(5*x + 8) - 8
tan(6x + 4) = 2,tan(6*x + 4) - 2
tan(10x + 10) = 7,tan(10*x + 10) - 7
tan(5x + 3) = 2,tan(5*x + 3) - 2
sqrt(6x + 0) = 10,sqrt(6*x + 0) - 10
sin(8x + 2) = 10,sin(8*x + 2) - 10
tan(9x + 2) = 9,tan(9*x + 2) - 9
cos(8x + 10) = 5,cos(8*x + 10) - 5
tan(3x + 8) = 6,tan(3*x + 8) - 6
sin(8x + 2) = 9,sin(8*x + 2) - 9
cos(7x + 3) = 8,cos(7*x + 3) - 8
tan(10x + 4) = 6,tan(10*x + 4) - 6
cos(7x + 9) = 7,cos(7*x + 9) - 7
log(4x + 4) = 5,log(4*x + 4) - 5
sin(10x + 9) = 7,sin(10*x + 9) - 7
sin(4x + 9) = 2,sin(4*x + 9) - 2
log(10x + 0) = 2,log(10*x + 0) - 2
exp(9x + 0) = 9,exp(9*x + 0) - 9
sin(5x + 10) = 4,sin(5*x + 10) - 4
exp(8x + 7) = 7,exp(8*x + 7) - 7
sin(3x + 2) = 4,sin(3*x + 2) - 4
ln(7x + 9) = 7,ln(7*x + 9) - 7
